lebel_type	dis_co_occu	ran_ds_no	best_l1_ratio	best_C	best_cv_train_rmse	test_rmse
ori_leb	BMI	149	0.1	0.4	4.987	5.249
shuff_leb	BMI	149	0.9	0.6	7.96	7.453
ori_leb	BMI	150	0.1	0.6	4.944	6.559
shuff_leb	BMI	150	0.1	1000.0	7.57	8.007
ori_leb	BMI	151	0.1	0.4	4.765	6.154
shuff_leb	BMI	151	0.1	10.0	8.001	6.169
ori_leb	BMI	152	0.1	0.4	4.873	5.732
shuff_leb	BMI	152	0.1	10.0	7.642	7.734
ori_leb	BMI	153	0.1	0.4	4.879	5.912
shuff_leb	BMI	153	0.1	10.0	7.872	6.782
ori_leb	BMI	154	0.1	0.4	4.863	5.618
shuff_leb	BMI	154	0.1	1000.0	7.885	6.697
ori_leb	BMI	155	0.1	0.4	4.811	5.814
shuff_leb	BMI	155	0.1	1000.0	7.783	7.164
ori_leb	BMI	156	0.1	0.6	4.99	6.219
shuff_leb	BMI	156	0.9	1.0	7.797	7.307
ori_leb	BMI	157	0.1	0.4	4.54	7.298
shuff_leb	BMI	157	0.9	1.0	7.126	9.448
ori_leb	BMI	158	0.1	0.4	4.866	5.631
shuff_leb	BMI	158	0.1	1000.0	7.835	6.932
ori_leb	BMI	159	0.1	0.4	4.615	6.841
shuff_leb	BMI	159	0.1	1000.0	7.411	8.577
ori_leb	BMI	160	0.1	0.4	4.698	6.626
shuff_leb	BMI	160	0.1	1000.0	7.366	8.809
ori_leb	BMI	161	0.1	0.6	5.133	5.617
shuff_leb	BMI	161	0.1	1000.0	7.715	7.441
ori_leb	BMI	162	0.6	0.2	4.584	6.699
shuff_leb	BMI	162	0.1	1000.0	7.455	8.445
ori_leb	BMI	163	0.1	0.4	4.883	5.798
shuff_leb	BMI	163	0.1	1000.0	7.612	7.855
ori_leb	BMI	164	0.1	0.4	4.826	5.729
shuff_leb	BMI	164	0.1	1000.0	7.818	7.008
ori_leb	BMI	165	0.1	0.4	4.799	5.758
shuff_leb	BMI	165	0.1	1000.0	7.865	6.8
ori_leb	BMI	166	0.1	0.4	4.699	6.458
shuff_leb	BMI	166	0.6	1.0	7.864	7.198
ori_leb	BMI	167	0.1	0.4	4.815	6.171
shuff_leb	BMI	167	0.2	1.0	7.699	8.769
ori_leb	BMI	168	0.1	0.6	5.131	5.746
shuff_leb	BMI	168	0.4	1.0	7.838	7.145
ori_leb	BMI	169	0.1	0.4	4.686	6.38
shuff_leb	BMI	169	0.4	1.0	7.612	8.361
ori_leb	BMI	170	0.1	0.4	4.812	6.076
shuff_leb	BMI	170	0.1	1000.0	7.59	7.955
ori_leb	BMI	171	0.1	0.4	4.937	5.697
shuff_leb	BMI	171	0.1	1000.0	7.77	7.212
ori_leb	BMI	172	0.1	0.4	4.866	5.943
shuff_leb	BMI	172	0.1	1000.0	7.665	7.65
ori_leb	BMI	173	0.1	0.6	5.221	5.073
shuff_leb	BMI	173	0.1	1000.0	7.853	6.848
ori_leb	BMI	174	0.1	0.6	4.936	6.882
shuff_leb	BMI	174	0.1	1000.0	7.381	8.788
ori_leb	BMI	175	0.1	0.6	5.175	5.467
shuff_leb	BMI	175	0.9	1.0	7.825	7.169
ori_leb	BMI	176	0.1	0.4	4.869	5.928
shuff_leb	BMI	176	0.9	1.0	7.891	7.276
ori_leb	BMI	177	0.2	0.4	4.845	6.347
shuff_leb	BMI	177	0.1	1000.0	7.869	6.771
ori_leb	BMI	178	0.1	0.4	4.814	6.125
shuff_leb	BMI	178	0.2	1.0	7.784	8.332
ori_leb	BMI	179	0.1	0.6	5.145	5.824
shuff_leb	BMI	179	0.1	1000.0	7.715	7.445
ori_leb	BMI	180	0.1	0.4	4.886	5.61
shuff_leb	BMI	180	0.1	1000.0	7.666	7.637
ori_leb	BMI	181	0.1	0.6	5.018	6.212
shuff_leb	BMI	181	0.9	1.0	7.498	8.303
ori_leb	BMI	182	0.1	0.6	5.123	5.596
shuff_leb	BMI	182	0.8	0.6	7.794	7.769
ori_leb	BMI	183	0.1	0.4	4.842	5.939
shuff_leb	BMI	183	0.1	10.0	7.587	7.946
ori_leb	BMI	184	0.1	0.4	4.839	5.819
shuff_leb	BMI	184	0.6	1.0	7.598	7.821
ori_leb	BMI	185	0.1	0.4	5.04	4.824
shuff_leb	BMI	185	0.9	1.0	7.92	6.258
ori_leb	BMI	186	0.1	0.6	5.213	5.659
shuff_leb	BMI	186	0.1	1000.0	7.797	7.127
ori_leb	BMI	187	0.1	0.6	5.173	5.543
shuff_leb	BMI	187	0.1	1000.0	7.666	7.639
ori_leb	BMI	188	0.1	0.6	4.837	6.889
shuff_leb	BMI	188	0.4	1.0	7.459	8.508
ori_leb	BMI	189	0.1	0.4	4.813	6.147
shuff_leb	BMI	189	0.1	1000.0	7.432	8.519
ori_leb	BMI	190	0.1	0.6	5.15	5.792
shuff_leb	BMI	190	0.1	1000.0	7.695	7.522
ori_leb	BMI	191	0.1	0.4	4.827	5.819
shuff_leb	BMI	191	0.1	1000.0	7.76	7.256
ori_leb	BMI	192	0.1	0.4	4.721	6.832
shuff_leb	BMI	192	0.1	1000.0	7.6	7.922
ori_leb	BMI	193	0.1	0.6	5.019	6.062
shuff_leb	BMI	193	0.9	1.0	7.863	7.118
ori_leb	BMI	194	0.1	0.6	5.093	5.658
shuff_leb	BMI	194	0.4	1.0	7.842	7.547
ori_leb	BMI	195	0.1	0.4	4.697	6.279
shuff_leb	BMI	195	0.1	1000.0	7.825	6.991
ori_leb	BMI	196	0.2	0.4	5.112	4.78
shuff_leb	BMI	196	0.1	1000.0	7.862	6.868
ori_leb	BMI	197	0.1	0.4	4.72	6.247
shuff_leb	BMI	197	0.1	1000.0	7.584	7.968
ori_leb	BMI	198	0.1	0.4	4.763	6.35
shuff_leb	BMI	198	0.1	10.0	7.611	7.866
ori_leb	BMI	199	0.1	0.4	4.821	6.041
shuff_leb	BMI	199	0.6	1.0	7.719	8.165
ori_leb	BMI	200	0.1	0.6	5.101	5.769
shuff_leb	BMI	200	0.4	1.0	7.945	7.474
ori_leb	BMI	201	0.1	0.6	5.063	6.291
shuff_leb	BMI	201	0.6	1.0	7.626	7.886
ori_leb	BMI	202	0.1	0.4	4.735	6.158
shuff_leb	BMI	202	0.1	10.0	7.867	6.839
ori_leb	BMI	203	0.1	0.4	4.847	5.636
shuff_leb	BMI	203	0.9	1.0	7.779	7.091
ori_leb	BMI	204	0.1	0.4	4.742	6.489
shuff_leb	BMI	204	0.1	1000.0	7.528	8.178
ori_leb	BMI	205	0.1	0.6	5.046	6.032
shuff_leb	BMI	205	0.8	1.0	7.626	7.98
ori_leb	BMI	206	0.1	0.6	4.887	6.612
shuff_leb	BMI	206	0.9	0.6	7.674	8.668
ori_leb	BMI	207	0.1	0.4	4.799	6.095
shuff_leb	BMI	207	0.1	1000.0	7.633	7.829
ori_leb	BMI	208	0.1	0.4	4.965	5.379
shuff_leb	BMI	208	0.1	1000.0	7.957	6.368
ori_leb	BMI	209	0.1	0.4	4.784	6.238
shuff_leb	BMI	209	0.1	1000.0	7.524	8.191
ori_leb	BMI	210	0.1	0.4	4.849	5.687
shuff_leb	BMI	210	0.1	10.0	7.809	7.067
ori_leb	BMI	211	0.1	0.4	4.809	5.967
shuff_leb	BMI	211	0.1	1000.0	7.846	6.9
ori_leb	BMI	212	0.1	0.4	4.796	6.169
shuff_leb	BMI	212	0.1	1000.0	7.792	7.119
ori_leb	BMI	213	0.1	0.4	4.915	5.919
shuff_leb	BMI	213	0.1	1000.0	7.858	6.824
ori_leb	BMI	214	0.1	0.6	5.194	5.542
shuff_leb	BMI	214	0.1	1000.0	7.829	6.972
ori_leb	BMI	215	0.1	0.4	4.731	6.209
shuff_leb	BMI	215	0.1	10.0	7.735	7.355
ori_leb	BMI	216	0.1	0.4	4.849	5.958
shuff_leb	BMI	216	0.1	1000.0	7.592	7.938
ori_leb	BMI	217	0.1	0.4	5.028	5.008
shuff_leb	BMI	217	0.4	1.0	8.054	6.483
ori_leb	BMI	218	0.1	0.4	4.818	6.423
shuff_leb	BMI	218	0.1	1000.0	7.669	7.645
ori_leb	BMI	219	0.1	0.4	4.781	5.921
shuff_leb	BMI	219	0.1	1000.0	7.86	6.812
ori_leb	BMI	220	0.1	0.6	5.126	5.524
shuff_leb	BMI	220	0.1	1000.0	7.755	7.276
ori_leb	BMI	221	0.1	0.6	5.054	6.208
shuff_leb	BMI	221	0.1	1000.0	7.542	8.155
ori_leb	BMI	222	0.1	0.6	4.962	6.598
shuff_leb	BMI	222	0.1	1000.0	7.297	8.977
ori_leb	BMI	223	0.1	0.6	4.971	6.228
shuff_leb	BMI	223	0.1	1000.0	7.637	7.754
ori_leb	BMI	224	0.1	0.4	4.87	5.344
shuff_leb	BMI	224	0.1	1000.0	7.882	6.716
ori_leb	BMI	225	0.1	0.6	5.177	5.316
shuff_leb	BMI	225	0.4	1.0	7.959	6.919
ori_leb	BMI	226	0.1	0.6	5.112	5.891
shuff_leb	BMI	226	0.1	1000.0	7.668	7.637
ori_leb	BMI	227	0.1	0.4	4.605	6.797
shuff_leb	BMI	227	0.1	1000.0	7.531	8.155
ori_leb	BMI	228	0.1	0.6	5.111	5.957
shuff_leb	BMI	228	0.1	10.0	7.66	7.662
ori_leb	BMI	229	0.1	0.4	4.726	6.706
shuff_leb	BMI	229	0.1	1000.0	7.315	8.901
ori_leb	BMI	230	0.1	0.4	5.013	5.284
shuff_leb	BMI	230	0.1	1000.0	7.641	7.739
ori_leb	BMI	231	0.1	0.4	4.675	6.563
shuff_leb	BMI	231	0.1	1000.0	7.569	8.015
ori_leb	BMI	232	0.1	0.6	4.963	6.457
shuff_leb	BMI	232	0.1	1000.0	7.557	8.087
ori_leb	BMI	233	0.1	0.6	4.981	6.141
shuff_leb	BMI	233	0.1	1000.0	7.712	7.46
ori_leb	BMI	234	0.1	0.4	4.749	6.139
shuff_leb	BMI	234	0.1	10.0	7.658	7.703
ori_leb	BMI	235	0.1	0.6	4.995	6.132
shuff_leb	BMI	235	0.1	1000.0	7.693	7.553
ori_leb	BMI	236	0.1	0.4	4.8	6.047
shuff_leb	BMI	236	0.1	1000.0	7.721	7.425
ori_leb	BMI	237	0.1	0.4	4.757	6.081
shuff_leb	BMI	237	0.1	1000.0	7.69	7.543
ori_leb	BMI	238	0.1	0.4	4.773	6.276
shuff_leb	BMI	238	0.1	1000.0	7.665	7.701
