lebel_type	dis_co_occu	dis_pos	dis_neg	ran_ds_no	best_l1_ratio	best_C	best_cv_train_balanced_accuracy	test_balanced_accuracy
shuff_leb	Karyotype	304	95	71	0.6	0.1	0.437	0.501
ori_leb	Karyotype	304	95	72	0.1	0.2	0.896	0.893
shuff_leb	Karyotype	304	95	72	0.1	0.001	0.469	0.5
ori_leb	Karyotype	304	95	73	0.9	0.6	0.865	0.918
shuff_leb	Karyotype	304	95	73	0.9	100.0	0.501	0.59
ori_leb	Karyotype	304	95	74	0.4	0.6	0.896	0.877
shuff_leb	Karyotype	304	95	74	0.9	0.1	0.431	0.404
ori_leb	Karyotype	304	95	75	0.8	0.6	0.888	0.918
shuff_leb	Karyotype	304	95	75	0.8	0.6	0.483	0.547
ori_leb	Karyotype	304	95	76	0.4	0.2	0.871	0.926
shuff_leb	Karyotype	304	95	76	0.1	0.001	0.438	0.5
ori_leb	Karyotype	304	95	77	0.4	0.6	0.896	0.918
shuff_leb	Karyotype	304	95	77	0.6	0.2	0.481	0.486
ori_leb	Karyotype	304	95	78	0.9	1.0	0.878	0.852
shuff_leb	Karyotype	304	95	78	0.9	0.1	0.511	0.396
ori_leb	Karyotype	304	95	79	0.6	0.2	0.878	0.851
shuff_leb	Karyotype	304	95	79	0.6	0.1	0.49	0.517
ori_leb	Karyotype	304	95	80	0.6	0.6	0.866	0.844
shuff_leb	Karyotype	304	95	80	0.8	0.1	0.543	0.555
ori_leb	Karyotype	304	95	81	0.1	0.2	0.887	0.902
shuff_leb	Karyotype	304	95	81	0.9	0.1	0.5	0.483
ori_leb	Karyotype	304	95	82	0.9	0.4	0.888	0.861
shuff_leb	Karyotype	304	95	82	0.4	0.2	0.481	0.399
ori_leb	Karyotype	304	95	83	0.4	1.0	0.902	0.902
shuff_leb	Karyotype	304	95	83	0.4	0.4	0.552	0.452
ori_leb	Karyotype	304	95	84	0.4	0.1	0.866	0.934
shuff_leb	Karyotype	304	95	84	0.9	0.1	0.515	0.491
ori_leb	Karyotype	304	95	85	0.9	0.6	0.896	0.885
shuff_leb	Karyotype	304	95	85	0.6	0.1	0.511	0.667
ori_leb	Karyotype	304	95	86	0.8	0.6	0.883	0.852
shuff_leb	Karyotype	304	95	86	0.8	0.6	0.498	0.452
ori_leb	Karyotype	304	95	87	0.2	0.1	0.856	0.951
shuff_leb	Karyotype	304	95	87	0.1	0.001	0.468	0.5
ori_leb	Karyotype	304	95	88	0.9	0.6	0.878	0.877
shuff_leb	Karyotype	304	95	88	0.8	0.1	0.481	0.422
ori_leb	Karyotype	304	95	89	0.9	0.6	0.866	0.902
shuff_leb	Karyotype	304	95	89	0.9	0.4	0.491	0.501
ori_leb	Karyotype	304	95	90	0.9	0.2	0.857	0.934
shuff_leb	Karyotype	304	95	90	0.6	1000.0	0.506	0.542
ori_leb	Karyotype	304	95	91	0.6	0.2	0.865	0.869
shuff_leb	Karyotype	304	95	91	0.9	1.0	0.548	0.369
ori_leb	Karyotype	304	95	92	0.4	0.2	0.875	0.877
shuff_leb	Karyotype	304	95	92	0.1	0.001	0.444	0.5
ori_leb	Karyotype	304	95	93	0.2	0.2	0.883	0.902
shuff_leb	Karyotype	304	95	93	0.9	0.1	0.518	0.43
ori_leb	Karyotype	304	95	94	0.1	0.4	0.888	0.877
shuff_leb	Karyotype	304	95	94	0.1	0.4	0.491	0.511
ori_leb	Karyotype	304	95	95	0.9	1.0	0.866	0.91
shuff_leb	Karyotype	304	95	95	0.1	0.1	0.512	0.539
ori_leb	Karyotype	304	95	96	0.6	0.4	0.867	0.893
shuff_leb	Karyotype	304	95	96	0.6	0.1	0.494	0.448
ori_leb	Karyotype	304	95	97	0.6	0.4	0.857	0.934
shuff_leb	Karyotype	304	95	97	0.1	1000.0	0.588	0.519
ori_leb	Karyotype	304	95	98	0.6	1000.0	0.883	0.885
shuff_leb	Karyotype	304	95	98	0.4	0.2	0.491	0.458
ori_leb	Karyotype	304	95	99	0.9	0.4	0.871	0.902
shuff_leb	Karyotype	304	95	99	0.9	0.1	0.499	0.511
ori_leb	Karyotype	304	95	100	0.4	10.0	0.896	0.902
shuff_leb	Karyotype	304	95	100	0.1	0.001	0.476	0.5
ori_leb	Karyotype	304	95	101	0.4	0.6	0.885	0.91
shuff_leb	Karyotype	304	95	101	0.2	10.0	0.507	0.475
ori_leb	Karyotype	304	95	102	0.1	0.2	0.878	0.926
shuff_leb	Karyotype	304	95	102	0.9	0.2	0.49	0.478
ori_leb	Karyotype	304	95	103	0.2	0.2	0.878	0.918
shuff_leb	Karyotype	304	95	103	0.1	100.0	0.535	0.452
ori_leb	Karyotype	304	95	104	0.8	0.4	0.911	0.893
shuff_leb	Karyotype	304	95	104	0.8	0.1	0.474	0.516
ori_leb	Karyotype	304	95	105	0.1	0.1	0.888	0.893
shuff_leb	Karyotype	304	95	105	0.4	0.2	0.552	0.588
ori_leb	Karyotype	304	95	106	0.2	0.1	0.898	0.893
shuff_leb	Karyotype	304	95	106	0.9	0.1	0.5	0.558
ori_leb	Karyotype	304	95	107	0.4	0.2	0.875	0.869
shuff_leb	Karyotype	304	95	107	0.6	0.1	0.481	0.552
ori_leb	Karyotype	304	95	108	0.8	0.6	0.875	0.893
shuff_leb	Karyotype	304	95	108	0.1	0.001	0.434	0.5
ori_leb	Karyotype	304	95	109	0.6	0.2	0.865	0.934
shuff_leb	Karyotype	304	95	109	0.1	0.001	0.456	0.5
ori_leb	Karyotype	304	95	110	0.4	0.1	0.867	0.834
shuff_leb	Karyotype	304	95	110	0.6	1.0	0.581	0.425
ori_leb	Karyotype	304	95	111	0.9	0.4	0.881	0.902
shuff_leb	Karyotype	304	95	111	0.6	10.0	0.564	0.484
ori_leb	Karyotype	304	95	112	0.4	0.1	0.867	0.91
shuff_leb	Karyotype	304	95	112	0.8	0.1	0.507	0.499
ori_leb	Karyotype	304	95	113	0.9	0.6	0.888	0.885
shuff_leb	Karyotype	304	95	113	0.1	0.001	0.496	0.5
ori_leb	Karyotype	304	95	114	0.8	0.6	0.883	0.893
shuff_leb	Karyotype	304	95	114	0.1	10.0	0.49	0.435
ori_leb	Karyotype	304	95	115	0.9	0.4	0.887	0.893
shuff_leb	Karyotype	304	95	115	0.8	0.1	0.522	0.568
ori_leb	Karyotype	304	95	116	0.2	0.2	0.885	0.902
shuff_leb	Karyotype	304	95	116	0.1	0.001	0.485	0.5
ori_leb	Karyotype	304	95	117	0.2	0.1	0.875	0.902
shuff_leb	Karyotype	304	95	117	0.1	0.001	0.466	0.5
ori_leb	Karyotype	304	95	118	0.1	0.2	0.917	0.902
shuff_leb	Karyotype	304	95	118	0.6	0.1	0.504	0.45
ori_leb	Karyotype	304	95	119	0.2	0.6	0.897	0.934
shuff_leb	Karyotype	304	95	119	0.1	0.001	0.409	0.5
ori_leb	Karyotype	304	95	120	0.8	0.6	0.885	0.918
shuff_leb	Karyotype	304	95	120	0.6	0.1	0.573	0.338
ori_leb	Karyotype	304	95	121	0.9	1.0	0.866	0.918
shuff_leb	Karyotype	304	95	121	0.1	1000.0	0.531	0.424
ori_leb	Karyotype	304	95	122	0.4	0.2	0.875	0.902
shuff_leb	Karyotype	304	95	122	0.4	0.2	0.562	0.563
ori_leb	Karyotype	304	95	123	0.4	0.4	0.898	0.893
shuff_leb	Karyotype	304	95	123	0.8	10.0	0.504	0.486
ori_leb	Karyotype	304	95	124	0.6	0.2	0.865	0.893
shuff_leb	Karyotype	304	95	124	0.1	0.001	0.448	0.5
ori_leb	Karyotype	304	95	125	0.8	0.4	0.888	0.902
shuff_leb	Karyotype	304	95	125	0.1	0.001	0.426	0.5
ori_leb	Karyotype	304	95	126	0.9	1.0	0.898	0.91
shuff_leb	Karyotype	304	95	126	0.8	0.1	0.527	0.519
ori_leb	Karyotype	304	95	127	0.9	0.4	0.897	0.885
shuff_leb	Karyotype	304	95	127	0.1	1000.0	0.484	0.363
ori_leb	Karyotype	304	95	128	0.4	0.4	0.897	0.926
shuff_leb	Karyotype	304	95	128	0.8	0.4	0.545	0.501
ori_leb	Karyotype	304	95	129	0.8	0.6	0.898	0.893
shuff_leb	Karyotype	304	95	129	0.1	0.1	0.517	0.361
ori_leb	Karyotype	304	95	130	0.4	0.2	0.888	0.885
shuff_leb	Karyotype	304	95	130	0.9	0.1	0.502	0.511
ori_leb	Karyotype	304	95	131	0.1	0.4	0.896	0.852
shuff_leb	Karyotype	304	95	131	0.8	0.1	0.49	0.529
ori_leb	Karyotype	304	95	132	0.2	0.1	0.859	0.91
shuff_leb	Karyotype	304	95	132	0.4	10.0	0.487	0.563
ori_leb	Karyotype	304	95	133	0.9	100.0	0.891	0.869
shuff_leb	Karyotype	304	95	133	0.9	1.0	0.506	0.468
ori_leb	Karyotype	304	95	134	0.9	0.4	0.878	0.893
shuff_leb	Karyotype	304	95	134	0.1	0.001	0.478	0.5
ori_leb	Karyotype	304	95	135	0.6	0.6	0.898	0.902
shuff_leb	Karyotype	304	95	135	0.2	0.4	0.546	0.547
ori_leb	Karyotype	304	95	136	0.4	0.1	0.856	0.926
shuff_leb	Karyotype	304	95	136	0.8	0.1	0.496	0.655
ori_leb	Karyotype	304	95	137	0.8	1.0	0.896	0.844
shuff_leb	Karyotype	304	95	137	0.1	0.2	0.498	0.484
ori_leb	Karyotype	304	95	138	0.6	0.4	0.875	0.926
shuff_leb	Karyotype	304	95	138	0.1	0.001	0.488	0.5
ori_leb	Karyotype	304	95	139	0.2	0.2	0.867	0.91
shuff_leb	Karyotype	304	95	139	0.8	10.0	0.5	0.534
ori_leb	Karyotype	304	95	140	0.2	0.4	0.883	0.885
shuff_leb	Karyotype	304	95	140	0.1	1000.0	0.476	0.499
ori_leb	Karyotype	304	95	141	0.6	0.1	0.865	0.869
shuff_leb	Karyotype	304	95	141	0.1	1.0	0.555	0.45
ori_leb	Karyotype	304	95	142	0.9	10.0	0.876	0.902
shuff_leb	Karyotype	304	95	142	0.1	0.001	0.455	0.5
ori_leb	Karyotype	304	95	143	0.4	1.0	0.907	0.828
shuff_leb	Karyotype	304	95	143	0.8	0.6	0.514	0.437
ori_leb	Karyotype	304	95	144	0.2	0.2	0.865	0.934
shuff_leb	Karyotype	304	95	144	0.1	0.001	0.439	0.5
ori_leb	Karyotype	304	95	145	0.2	0.1	0.887	0.893
shuff_leb	Karyotype	304	95	145	0.9	0.1	0.468	0.481
ori_leb	Karyotype	304	95	146	0.6	0.6	0.871	0.918
shuff_leb	Karyotype	304	95	146	0.1	0.001	0.463	0.5
ori_leb	Karyotype	304	95	147	0.4	10.0	0.885	0.844
shuff_leb	Karyotype	304	95	147	0.1	0.001	0.459	0.5
ori_leb	Karyotype	304	95	148	0.9	0.4	0.878	0.885
shuff_leb	Karyotype	304	95	148	0.1	100.0	0.501	0.452
ori_leb	Karyotype	304	95	149	0.8	0.6	0.875	0.918
shuff_leb	Karyotype	304	95	149	0.1	1.0	0.59	0.582
ori_leb	Karyotype	304	95	150	0.2	0.1	0.878	0.885
shuff_leb	Karyotype	304	95	150	0.9	0.2	0.54	0.519
ori_leb	Karyotype	304	95	151	0.6	0.4	0.898	0.918
shuff_leb	Karyotype	304	95	151	0.4	0.6	0.488	0.594
ori_leb	Karyotype	304	95	152	0.4	0.6	0.887	0.918
shuff_leb	Karyotype	304	95	152	0.1	0.001	0.431	0.5
ori_leb	Karyotype	304	95	153	0.8	0.2	0.888	0.892
shuff_leb	Karyotype	304	95	153	0.1	100.0	0.564	0.462
ori_leb	Karyotype	304	95	154	0.8	0.2	0.854	0.843
shuff_leb	Karyotype	304	95	154	0.1	0.001	0.489	0.5
ori_leb	Karyotype	304	95	155	0.4	0.2	0.875	0.877
shuff_leb	Karyotype	304	95	155	0.1	1000.0	0.49	0.503
ori_leb	Karyotype	304	95	156	0.1	0.2	0.878	0.943
shuff_leb	Karyotype	304	95	156	0.6	0.1	0.481	0.475
ori_leb	Karyotype	304	95	157	0.8	0.2	0.865	0.943
shuff_leb	Karyotype	304	95	157	0.2	0.4	0.542	0.503
ori_leb	Karyotype	304	95	158	0.9	0.4	0.885	0.91
shuff_leb	Karyotype	304	95	158	0.8	0.2	0.547	0.578
ori_leb	Karyotype	304	95	159	0.2	0.4	0.885	0.877
shuff_leb	Karyotype	304	95	159	0.8	0.1	0.495	0.46
ori_leb	Karyotype	304	95	160	0.8	1.0	0.885	0.893
shuff_leb	Karyotype	304	95	160	0.8	100.0	0.45	0.46
ori_leb	Karyotype	304	95	161	0.6	0.1	0.866	0.875
shuff_leb	Karyotype	304	95	161	0.1	0.001	0.49	0.5
ori_leb	Karyotype	304	95	162	0.6	0.2	0.885	0.885
shuff_leb	Karyotype	304	95	162	0.1	0.001	0.436	0.5
ori_leb	Karyotype	304	95	163	0.4	0.6	0.878	0.828
shuff_leb	Karyotype	304	95	163	0.4	0.4	0.492	0.621
ori_leb	Karyotype	304	95	164	0.9	0.4	0.881	0.918
shuff_leb	Karyotype	304	95	164	0.4	0.4	0.508	0.476
ori_leb	Karyotype	304	95	165	0.1	0.1	0.908	0.861
shuff_leb	Karyotype	304	95	165	0.1	0.001	0.461	0.5
ori_leb	Karyotype	304	95	166	0.4	0.1	0.888	0.918
shuff_leb	Karyotype	304	95	166	0.2	0.2	0.5	0.458
ori_leb	Karyotype	304	95	167	0.9	0.6	0.888	0.893
shuff_leb	Karyotype	304	95	167	0.8	1.0	0.625	0.586
ori_leb	Karyotype	304	95	168	0.8	1.0	0.887	0.902
shuff_leb	Karyotype	304	95	168	0.6	10.0	0.577	0.47
ori_leb	Karyotype	304	95	169	0.6	0.4	0.867	0.926
shuff_leb	Karyotype	304	95	169	0.2	0.2	0.524	0.452
ori_leb	Karyotype	304	95	170	0.4	0.1	0.876	0.852
shuff_leb	Karyotype	304	95	170	0.4	1000.0	0.56	0.56
ori_leb	Karyotype	304	95	171	0.8	0.2	0.871	0.925
shuff_leb	Karyotype	304	95	171	0.1	0.001	0.392	0.5
ori_leb	Karyotype	304	95	172	0.4	0.1	0.875	0.902
shuff_leb	Karyotype	304	95	172	0.9	0.1	0.5	0.527
ori_leb	Karyotype	304	95	173	0.2	0.6	0.875	0.91
shuff_leb	Karyotype	304	95	173	0.9	0.1	0.453	0.57
ori_leb	Karyotype	304	95	174	0.2	0.2	0.897	0.885
shuff_leb	Karyotype	304	95	174	0.4	0.2	0.46	0.483
ori_leb	Karyotype	304	95	175	0.1	0.2	0.876	0.943
shuff_leb	Karyotype	304	95	175	0.6	0.2	0.542	0.432
ori_leb	Karyotype	304	95	176	0.8	0.6	0.888	0.843
shuff_leb	Karyotype	304	95	176	0.4	1000.0	0.506	0.519
ori_leb	Karyotype	304	95	177	0.1	0.6	0.885	0.91
shuff_leb	Karyotype	304	95	177	0.2	0.1	0.5	0.456
ori_leb	Karyotype	304	95	178	0.9	0.6	0.875	0.918
shuff_leb	Karyotype	304	95	178	0.8	1000.0	0.56	0.624
ori_leb	Karyotype	304	95	179	0.6	0.4	0.885	0.893
shuff_leb	Karyotype	304	95	179	0.1	1000.0	0.501	0.537
ori_leb	Karyotype	304	95	180	0.2	0.2	0.875	0.943
shuff_leb	Karyotype	304	95	180	0.1	0.001	0.468	0.5
ori_leb	Karyotype	304	95	181	0.9	0.4	0.881	0.877
shuff_leb	Karyotype	304	95	181	0.8	0.1	0.473	0.394
ori_leb	Karyotype	304	95	182	0.9	1.0	0.875	0.902
shuff_leb	Karyotype	304	95	182	0.1	0.001	0.483	0.5
ori_leb	Karyotype	304	95	183	0.4	0.1	0.865	0.926
shuff_leb	Karyotype	304	95	183	0.8	0.6	0.499	0.519
ori_leb	Karyotype	304	95	184	0.9	10.0	0.888	0.869
shuff_leb	Karyotype	304	95	184	0.4	0.1	0.519	0.525
ori_leb	Karyotype	304	95	185	0.4	0.4	0.876	0.926
shuff_leb	Karyotype	304	95	185	0.2	0.1	0.519	0.455
ori_leb	Karyotype	304	95	186	0.1	0.1	0.865	0.902
shuff_leb	Karyotype	304	95	186	0.4	1.0	0.515	0.59
ori_leb	Karyotype	304	95	187	0.1	0.1	0.885	0.861
shuff_leb	Karyotype	304	95	187	0.9	0.4	0.488	0.387
ori_leb	Karyotype	304	95	188	0.6	1.0	0.888	0.91
shuff_leb	Karyotype	304	95	188	0.1	0.2	0.562	0.267
ori_leb	Karyotype	304	95	189	0.6	0.6	0.883	0.918
shuff_leb	Karyotype	304	95	189	0.2	1000.0	0.555	0.588
ori_leb	Karyotype	304	95	190	0.2	0.4	0.887	0.893
shuff_leb	Karyotype	304	95	190	0.1	100.0	0.5	0.452
ori_leb	Karyotype	304	95	191	0.4	0.1	0.856	0.91
shuff_leb	Karyotype	304	95	191	0.4	0.1	0.484	0.404
ori_leb	Karyotype	304	95	192	0.9	0.4	0.881	0.885
shuff_leb	Karyotype	304	95	192	0.1	0.001	0.474	0.5
ori_leb	Karyotype	304	95	193	0.9	0.4	0.898	0.893
shuff_leb	Karyotype	304	95	193	0.2	1000.0	0.522	0.547
ori_leb	Karyotype	304	95	194	0.1	0.2	0.878	0.91
shuff_leb	Karyotype	304	95	194	0.1	1000.0	0.488	0.483
ori_leb	Karyotype	304	95	195	0.4	0.4	0.865	0.861
shuff_leb	Karyotype	304	95	195	0.1	0.001	0.503	0.5
ori_leb	Karyotype	304	95	196	0.8	0.6	0.878	0.91
shuff_leb	Karyotype	304	95	196	0.1	1000.0	0.519	0.476
ori_leb	Karyotype	304	95	197	0.4	0.2	0.875	0.91
shuff_leb	Karyotype	304	95	197	0.8	0.6	0.5	0.44
ori_leb	Karyotype	304	95	198	0.2	0.2	0.864	0.893
shuff_leb	Karyotype	304	95	198	0.1	0.001	0.479	0.5
